"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2016","47,028.08","47,176.52","47,325.82","46,827.29","157.69M","-0.31%"
"06/13/2016","46,431.51","47,028.08","47,028.08","46,431.51","170.12M","-1.27%"
"06/14/2016","45,396.90","46,431.51","46,431.51","45,396.90","182.32M","-2.23%"
"06/15/2016","46,050.02","45,396.90","46,050.02","45,383.67","388.67M","1.44%"
"06/17/2016","46,136.89","46,050.02","46,146.94","45,657.87","184.42M","0.19%"
"06/20/2016","47,015.52","46,136.89","47,037.76","46,136.89","125.12M","1.90%"
"06/21/2016","46,912.03","47,015.52","47,021.74","46,597.18","101.86M","-0.22%"
"06/22/2016","47,475.23","46,912.03","47,605.50","46,912.03","135.42M","1.20%"
"06/23/2016","47,453.53","47,475.23","47,813.48","47,075.76","129.91M","-0.05%"
"06/24/2016","45,570.39","47,453.53","47,453.53","44,558.26","246.07M","-3.97%"
"06/27/2016","44,142.75","45,570.39","45,580.45","44,038.73","226.13M","-3.13%"
"06/28/2016","45,107.14","44,142.75","45,453.91","44,142.75","176.41M","2.18%"
"06/29/2016","45,732.46","45,107.14","45,928.45","45,107.14","143.86M","1.39%"
"06/30/2016","45,974.31","45,732.46","46,459.02","45,731.66","171.95M","0.53%"
"07/01/2016","46,015.54","45,974.31","46,454.52","45,542.08","139.75M","0.09%"
"07/04/2016","46,027.48","46,015.54","46,453.51","45,963.32","108.00M","0.03%"
"07/05/2016","45,330.93","46,027.48","46,035.05","45,330.93","158.72M","-1.51%"
"07/06/2016","44,501.22","45,330.93","45,330.93","44,469.75","176.22M","-1.83%"
"07/07/2016","44,802.53","44,501.22","45,184.05","44,501.22","120.01M","0.68%"
"07/08/2016","44,920.65","44,802.53","45,060.56","44,516.42","96.89M","0.26%"
"07/11/2016","45,683.33","44,920.65","45,683.33","44,920.65","109.47M","1.70%"
"07/12/2016","46,056.81","45,683.33","46,160.04","45,570.47","171.97M","0.82%"
"07/13/2016","46,288.18","46,056.81","46,413.72","46,056.81","132.20M","0.50%"
"07/14/2016","46,273.49","46,288.18","46,453.19","46,043.31","149.53M","-0.03%"
"07/15/2016","46,454.35","46,273.49","46,561.27","46,049.40","114.70M","0.39%"
"07/18/2016","46,431.44","46,454.35","46,454.35","46,125.95","87.08M","-0.05%"
"07/19/2016","46,214.28","46,431.44","46,431.44","45,806.28","116.76M","-0.47%"
"07/20/2016","46,200.63","46,214.28","46,300.70","45,827.00","143.59M","-0.03%"
"07/21/2016","46,272.66","46,200.63","46,446.23","46,120.21","","0.16%"
"07/22/2016","46,285.24","46,272.66","46,302.98","45,896.96","","0.03%"
"07/25/2016","46,544.67","46,285.24","46,913.13","46,285.24","","0.56%"
"07/26/2016","46,788.32","46,544.67","46,922.17","46,492.34","","0.52%"
"07/27/2016","46,874.05","46,788.32","47,051.59","46,643.92","","0.18%"
"07/28/2016","46,390.00","46,874.05","47,004.11","46,359.01","","-1.03%"
"07/29/2016","45,916.48","46,390.00","46,489.46","45,906.31","","-1.02%"
"08/01/2016","46,149.80","45,916.48","46,422.20","45,916.48","","0.51%"
"08/02/2016","45,559.57","46,149.80","46,149.80","45,476.71","","-1.28%"
"08/04/2016","45,533.22","45,559.57","45,887.98","45,392.73","148.53M","-0.06%"
"08/05/2016","45,385.74","45,533.22","45,756.79","45,336.03","126.94M","-0.32%"
"08/08/2016","45,510.65","45,385.74","45,648.76","45,346.75","87.65M","0.28%"
